# IRIS catalog migration inventory v1
cloud-devops	hugo	ops/hugo.go	migrated
cloud-devops	k3d	ops/k3d.go	migrated
cloud-devops	k6	ops/k6.go	migrated
cloud-devops	k9s	ops/k9s.go	migrated
cloud-devops	kind	ops/kind.go	migrated
cloud-devops	knex	ops/knex.go	migrated
cloud-devops	kubectl	ops/kubectl.go	migrated
cloud-devops	kubectx	ops/kubectx.go	migrated
cloud-devops	kubens	ops/kubens.go	migrated
cloud-devops	limactl	ops/limactl.go	migrated
cloud-devops	locust	ops/locust.go	migrated
cloud-devops	lpass	ops/lpass.go	migrated
cloud-devops	minikube	ops/minikube.go	migrated
cloud-devops	mongocli	ops/mongocli.go	migrated
cloud-devops	mongoimport	ops/mongoimport.go	migrated
cloud-devops	mongosh	ops/mongosh.go	migrated
cloud-devops	multipass	ops/multipass.go	migrated
cloud-devops	mysql	ops/mysql.go	migrated
cloud-devops	netlify	ops/netlify.go	migrated
cloud-devops	newman	ops/newman.go	migrated
cloud-devops	nginx	ops/nginx.go	migrated
cloud-devops	ngrok	ops/ngrok.go	migrated
cloud-devops	nvm	ops/nvm.go	migrated
cloud-devops	oci	ops/oci.go	migrated
cloud-devops	okteto	ops/okteto.go	migrated
cloud-devops	op	ops/op.go	migrated
cloud-devops	opa	ops/opa.go	migrated
cloud-devops	osqueryi	ops/osqueryi.go	migrated
cloud-devops	pass	ops/pass.go	migrated
cloud-devops	pg_dump	ops/pg_dump.go	migrated
cloud-devops	pgcli	ops/pgcli.go	migrated
cloud-devops	pm2	ops/pm2.go	migrated
cloud-devops	pod	ops/pod.go	migrated
cloud-devops	podman	ops/podman.go	migrated
cloud-devops	pscale	ops/pscale.go	migrated
cloud-devops	psql	ops/psql.go	migrated
cloud-devops	pulumi	ops/pulumi.go	migrated
cloud-devops	qodana	ops/qodana.go	migrated
cloud-devops	railway	ops/railway.go	migrated
cloud-devops	rbenv	ops/rbenv.go	migrated
cloud-devops	robot	ops/robot.go	migrated
cloud-devops	rsync	ops/ssh.go	migrated
cloud-devops	scp	ops/ssh.go	migrated
cloud-devops	serverless	ops/serverless.go	migrated
cloud-devops	sfdx	ops/sfdx.go	migrated
cloud-devops	sftp	ops/sftp.go	migrated
cloud-devops	space	ops/space.go	migrated
cloud-devops	sqlite3	ops/sqlite3.go	migrated
cloud-devops	src	ops/src.go	migrated
cloud-devops	ssh	ops/ssh.go	migrated
cloud-devops	ssh-keygen	ops/ssh_keygen.go	migrated
cloud-devops	stripe	ops/stripe.go	migrated
cloud-devops	supabase	ops/supabase.go	migrated
cloud-devops	surreal	ops/surreal.go	migrated
cloud-devops	tailscale	ops/tailscale.go	migrated
cloud-devops	terraform	ops/terraform.go	migrated
cloud-devops	terragrunt	ops/terragrunt.go	migrated
cloud-devops	tfenv	ops/tfenv.go	migrated
cloud-devops	tfsec	ops/tfsec.go	migrated
cloud-devops	tkn	ops/tkn.go	migrated
cloud-devops	trivy	ops/trivy.go	migrated
cloud-devops	tsuru	ops/tsuru.go	migrated
cloud-devops	vault	ops/vault.go	migrated
cloud-devops	vela	ops/vela.go	migrated
cloud-devops	vercel	ops/vercel.go	migrated
cloud-devops	volta	ops/volta.go	migrated
cloud-devops	watson	ops/watson.go	migrated
cloud-devops	whois	ops/whois.go	migrated
cloud-devops	wrangler	ops/wrangler.go	migrated
cloud-devops	xc	ops/xc.go	migrated
cloud-devops	xcodes	ops/xcodes.go	migrated
javascript	asar	js/asar.go	migrated
javascript	astro	js/astro.go	migrated
javascript	babel	js/babel.go	migrated
javascript	blitz	js/blitz.go	migrated
javascript	browser-sync	js/browser_sync.go	migrated
javascript	build-storybook	js/build_storybook.go	migrated
javascript	bun	js/bun.go	migrated
javascript	bunx	js/bun.go	migrated
javascript	cordova	js/cordova.go	migrated
javascript	create-completion-spec	js/create_completion_spec.go	migrated
javascript	create-next-app	js/create_next_app.go	migrated
javascript	create-nx-workspace	js/create_nx_workspace.go	migrated
javascript	create-react-app	js/create_react_app.go	migrated
javascript	create-react-native-app	js/create_react_native_app.go	migrated
javascript	create-redwood-app	js/create_redwood_app.go	migrated
javascript	create-remix	js/create_remix.go	migrated
javascript	create-t3-app	js/create_t3_app.go	migrated
javascript	create-video	js/create_video.go	migrated
javascript	create-vite	js/create_vite.go	migrated
javascript	create-web3-frontend	js/create_web3_frontend.go	migrated
javascript	deno	js/deno.go	migrated
javascript	dotenv	js/dotenv.go	migrated
javascript	electron	js/electron.go	migrated
javascript	elm	js/elm.go	migrated
javascript	elm-format	js/elm_format.go	migrated
javascript	elm-json	js/elm_json.go	migrated
javascript	elm-review	js/elm_review.go	migrated
javascript	esbuild	js/esbuild.go	migrated
javascript	eslint	js/eslint.go	migrated
javascript	expo	js/expo.go	migrated
javascript	expo-cli	js/expo_cli.go	migrated
javascript	ganache-cli	js/ganache_cli.go	migrated
javascript	gatsby	js/gatsby.go	migrated
javascript	hardhat	js/hardhat.go	migrated
javascript	ionic	js/ionic.go	migrated
javascript	jest	js/jest.go	migrated
javascript	lerna	js/lerna.go	migrated
javascript	meteor	js/meteor.go	migrated
javascript	ncu	js/ncu.go	migrated
javascript	nest	js/nest.go	migrated
javascript	next	js/next.go	migrated
javascript	ng	js/ng.go	migrated
javascript	node	js/node.go	migrated
javascript	npm	js/npm.go	migrated
javascript	npx	js/npx.go	migrated
javascript	nuxi	js/nuxi.go	migrated
javascript	nuxt	js/nuxt.go	migrated
javascript	nx	js/nx.go	migrated
javascript	oxlint	js/oxlint.go	migrated
javascript	playwright	js/playwright.go	migrated
javascript	pnpm	js/pnpm.go	migrated
javascript	pnpx	js/pnpx.go	migrated
javascript	prettier	js/prettier.go	migrated
javascript	quasar	js/quasar.go	migrated
javascript	react-native	js/react_native.go	migrated
javascript	redwood	js/redwood.go	migrated
javascript	remix	js/remix.go	migrated
javascript	remotion	js/remotion.go	migrated
javascript	rollup	js/rollup.go	migrated
javascript	rome	js/rome.go	migrated
javascript	rush	js/rush.go	migrated
javascript	sequelize	js/sequelize.go	migrated
javascript	serve	js/serve.go	migrated
javascript	shadcn-ui	js/shadcn_ui.go	migrated
javascript	start-storybook	js/start_storybook.go	migrated
javascript	stencil	js/stencil.go	migrated
javascript	swagger-typescript-api	js/swagger_typescript_api.go	migrated
javascript	swc	js/swc.go	migrated
javascript	truffle	js/truffle.go	migrated
javascript	ts-node	js/ts_node.go	migrated
javascript	tsc	js/tsc.go	migrated
javascript	tsx	js/tsx.go	migrated
javascript	turbo	js/turbo.go	migrated
javascript	typeorm	js/typeorm.go	migrated
javascript	vite	js/vite.go	migrated
javascript	vr	js/vr.go	migrated
javascript	vsce	js/vsce.go	migrated
javascript	vue	js/vue.go	migrated
javascript	watchman	js/watchman.go	migrated
javascript	webpack	js/webpack.go	migrated
javascript	yalc	js/yalc.go	migrated
javascript	yarn	js/yarn.go	migrated
python	black	python/black.go	migrated
python	conda	python/conda.go	migrated
python	django-admin	python/django_admin.go	migrated
python	googler	python/googler.go	migrated
